GRADER REMARKS,Professor,Class time,Three things you remember,Two things you find confusing,One thing you'll definitely use again
EDI 431,Jan Marchetti,9/21/10,Easier ways to find articles Where I can get Juvi texts Where the Keifer room is,All of the different search options ,The Juvi room
EDI 330,Seneway,3/1/11,I was already familiar with APA as well as how to use the library resources.,n/a,The resources I already knew how to use
GEP 100,Zarazinski,10/11/10,Ways to contact a librarian for help. How to tell if a source is a good source or not. How to find a specific book in the library.,If I had to choose two things it'd be how to search for a book and how to know which cite format to use fr classes.,The Academic Search Complete...EBSCO
GEP 100,susan wielgoez,9/13/10,Info Desk Library IM Movies in library,Book Numbers Printing stuff,Reasearchc paper guides
GEP100,Dr. Sziykli,10/4/10,How to use the library website Where everything is in the library How to use the library search,How to take out books Where to take out books,Library search for research
GEP100,Susan Wielgosz,9/13/10 12:00pm,How to communicate with the librarians for help. How to find articles using key words. How to find books using key words.,Where the books are Finding the database,Computers
GEP100,Dr. S,10/4/10,How to find articles. How to find books online. How to contact the library.,Key words to type in.,Finding articles.
GEP100,Susan Wielgosz,9-13-2010 12:00pm,,,
EDC 612,Amy Gaesser,9/20/12,How to locate books and articles.,How to narrow down my searches.,Psych Behavioral Science link
EDI600,Jill Z,9/15/10 5:45pm,how to narrow a topic - 'what about that?' how to use 'find similar results'  how to use the thesaurus,using ILLiad  remembering all this information next time I need to use it :),the databases
EDI 431,Marchetti,9/21/10,1. How to find an article 2. How to dwindle the search 3. How to contact librarian,All of the different search tools and sights,Noodle Bib
EDI 330,Aggie Seneway,(10/12/10 11:30),"How to cite APA style, how to search the library database, how important quotation marks are when searching.",nothing really,Search on lesson plans
EDI531,Pelttari,9/23/10 3:00pm,1.  How to find a journal online 2.  Where my content area books are in the JUV section 3.  Where to look for specific content articles,1.  Whether all of the articles are here in the library or just online. 2.  Why the Juvenile room is small,1.  The JUV room...I use for all of my classes.
EDI431,Pelttari,T&TH 3pm-4:30pm,"How to search for articles, find books and how to know if they are peer riview",None,Everything
Edi 600,Jill,9/15/10  5:45pm,"1. How to break down and refine a search 2. How to use the words OR, AND within a search 3. How to sign into EBSCO and save articles",1. Using the thesaurus 2. The Illiad,The library resources tab on angel
EDC612,Amy Gaesser,9/20/10,how to organize a search  how to request an inter library loan where to find the data base list,He did a great job covering everything!,inter library loan
GEP100,Janet Winter,9/15/10,How to contact the librarians. How to search for books online. That the website will do the works cited for you with articles.,How to find library circulation times. nothing else.,The article search with works cited.
GEP 100.03,Zarazinski,10/11/10/ 1:15pm,how big the library is how many books there are where to go if you need help library times,the article search how to find books,To search for books
EDI 531,marchetti,9/21/10 5:45pm,1. I learned about the adolescence book room. 2. Where to go when I need to cite something for a bibliography. 3. What constitutes a trusted source/website.,N/A,The adolescence book room.
EDI 600,Jill,9/15/10,1. How to search for online journal articles with better results. 2. How to do interlibrary loan. 3. How to find articles when they are cited.,1. How to use the thesaurus in eric. 2. How to narrow my topics.,1.  interlibrary loan
GEP 100.06,Allison Wright,10/6/10 12PM,#NAME?,Different types of citations scanning journal articles for us,scholarly journals online
EDI 330,Aggie Seneway,3/1/11,Education classes use APA style citations. How to change searches using the word web. That quotation marks search the words next to each other instead of individually.,Just how to use the thesaurus Ebisco search thing.,The quotation marks.
EDI 431,MARCHETTI,9/21/10 5:45PM,Perform peer-reviewed research. Navigate to Drake Library website. Select appropriate research materials.,The different ways of finding articles.,Peer-reviewed research
GEP 100.6,Allison Wright,10/6/10,1. The floor plan of the building 2. Where to locate the journals and the difference between the ones upstairs and basement 3. What a librarian does,1. Library set up ,The library catalog
GEP 100.03B,Zarazinski,10/11/10 1:15pm,1. you can ask a librarian for help through a chat  2. you can sign up for an individual meeting with a librarian  3. you can sign out a book for 28 days,"1. using scholarly journals and articles that are helpful for a paper, which ones relate to topic  2. some citations for resources",1. library book searches
GEP100 17B,Dr.Joyram Chakraborty,9/27/10 2:16pm,How to use the library site How to search for resources How to get help at the library,Nothing,The library website
edi 600,Zarazinski,9/15/10 5:45pm,1. How to use descriptors 2. Narrow search results 3. How to find an article using a citation,1. Narrowing by date 2. Using the * is searches,"1. AND, OR, ()"
GEP100,Sue W.,9/13/10,I learned how to get help from the library. I learned how to find books using a computer. I learned that the books are in order of subject.    ,,The AIM for getting help.
GEP100,Dr. Chakraborty,9/27/10,How to look up articles  How to cite things  How to find books  ,n/a,Academic Search Complete
HON112,Kowal,9/24/10,How to find articles Locations in library Database searching,I'm fine with pretty much everything.,How to use databases.
GEP300,Sara Dierks,10/6/10 10,research Book organization Periodicals,,The library
HON 112,Dr. Kowal,9/24/10,"I learned where I can find books, how I can get help, and how I can look through a database.",I'm still not clear on databases and searching through them.,I will definitely use the search resources on the website.
HON112,Kowal,9/24/10,"top floor is all books, kids center is downstairs, you can watch movies on the tv's in the back","the whole citation thing, which search things are better for what on the library website",the library
EDI600,Jill Zarazinski,9/15/10 5:45pm,#NAME?,#NAME?,EBSCO thesaurus to generate more terms for search string
edi 330,aggie,10/12/12,Find educational journal Were I can find help to cite Where I can find help from librains,,educational web site
EDI531,Marchetti,9/21/10,"I learned that the Library has a Juvenile Room, and where it is. I learned about the 3 methods of finding journals within the education resource guide. I learned that I can talk directly with Mr. Rath on the internet! That is outstanding.",Things I still find confusing: -the 2nd two methods for finding journals within the education resource guide. -getting to the education resource guide (other than using the link on ANGEL).,"I will use the Juvenile Room again! It probably has textbooks that 'my' students will use during my field experience, or textbooks that will better prepare me to teach them or know what they're doing."
GEP 100,Rath,10/11/10 1:15pm,How to find legitimate cites. How to use Academic Search. What the types of citations are.,How to find specific books from online. Library tutors or help.,I will definitely use the Academic Search.
GEP100,Dr.Zarzinski,10/11/10,"How to find books and articles, how to get a hold of the librarians, and how to properly cite a document.",which citation I should use for different classes.  How to use academic search complete,How to use the database search
EDI 431,Pelttari,9/23/10,-the 3 methods for finding an article/journal -where the juvenile section is -difference between the circulation and reference desk,#NAME?,#NAME?
GEP100,S,10/4/10,I learned I can go to the library and ask someone at the desk for help I learned I can print papers on the computers I learned I can study quietly upstairs,Where to find the books How to find them,The computers
GEP 100,Susan W,9/13/10 12:00pm,How to find books how to use the resources in the library  Where eevrything is,How to use some of the searches  the website,The library search catolog
EDI 431,Pelltari,9/23/10,Where the juvenile  section of the library was located. How to determine the authenticity of journal articles found online. How to refine a search.,All the parts of the Professional Growth Assignment. If there is any way to remove journals that are published from another country.,The Juvenile library
EDI 330,Aggie Seneway,10/12/10,education resources elementary ed resources apa citation,apa citation podcasting,elementary ed resources
GEP 100,Dr. S,10/4/10 1:15pm,How to find better articles. How to find help. Why google is bad.,"How books are categorized. For example, not by author but by call number. How to search for key topics. ",the Academic Search Complete database.
EDI 330,Seneway,3/1/11,"1.  I have a better understanding about using APA citations 2.  I found how Brockport's library lists Purdue for me so I don't have to search it everytime I am citing a resource 3.  I found how to refine my research due to year and where to find the information that I need for each of my resources on the screen 4.  Also, I learned about what words to capitalize while citing a source","1.  On Purdue, I never know which type of source I have and if I clicked on the right one.  Ex. Electronic Source ",I am definitely going to use the library website because I know where the Purdue link is and also the other links to help me cite are on Brockport's website
GEP100,Dr. Szilagyi,10/4/10,1. the layout of the library 2. what good sources are 3. where to find information other than using google,nothing. the librarian did a great job.,the online sources from the lits page.
EDI330.01,Aggie Senaway,TR 9:45,I learned how to navigate the library website How to cite Where the pod cast room is,I'm still a little confused about the Thesaurus  Listing call numbers in order,The website
EDI330,Seneway,3/1/11,Researching tools for just education topics resources for citing narrowing search by years,citing from APA to Chicago,Citing
EDC612,Amy Gaesser,9/20/10 4pm,How to do an accurate and comprehensive search The inter library loan process  The best data bases to use when doing a search,,"Accurate search tools...', *, AND/OR"
GEP100,Sue W.,9/13/10 1:00pm,How to ask for library help How to find books How to find articles,Nothing,How to find books
GEP 100,Sue W.,9/13/10,how to cite books on the computer  how to get help from a librarian  how to cite articles with keywords,I am not confused by anything,Academic Search Complete database
EDI431,Pelttari,9/23/10,how to look up journals how to use library web page where to find spanish books in children's library,,resource to help find journals
GEP300,Dierks,10/05/10 10:45pm,1)Finding articles 2)How to research papers 3)Citation,1)Citing resources ,The Library Tutorial
GEP100,Wielgosz,9/13/10 12-1,how to use the research for books. how to use the research for articles. how to look up text books.,getting help how to find a book,the article search
EDI 330,Aggie Seneway,10/12/10 11:30am,call numbers owl perdue noodle bib,,education resources
HON112,Dr. Donna Kowal,9/24/10 10:45am,where to go to get information where to go for help researching location of helpful tools in library,navigating through all the info office hours of each individual,research tools
EDI 330,Aggie Seneway,10/12/10,How to cite sources using APA format. How to form a paper in APA format. How to look up scholarly articles.,Still confused about APA format because I am used to using MLA. ,The library catalog.
EDI 330,Aggie Seneway,3/1/11 11:30pm,how to cite how to find a book how to find an article,,citation machine
GEP100,Daniels,9/20/10 9:30am,how to use the library catalog narrowing down a search  how to locate a book in the library ,the call number system citing articles,the library catalog to find books
GEP100,Jill Zarazinski,10/11/10,How to reach the librarian  How to narrow down a search  What is a good source vs. bad source,Looking up articles   What are keywords,Getting hold of the librarian and not being scared
EDC 612,Amy Gaesser,9/20/10,How to create and account in EBSCO How to request an interlibrary loan How to obtain a library access card for other libraries,I am not confused about anything.,Using an interlibrary loan
EDI330,Agnes Seneway,3/1/2010 11:30am,"How to get to the education resources link, how to identify call numbers, how to work the word cloud.",,the research databases
GEP100,Allison Wright,10/5/10 12:00pm,how to cite things use the datebase and how to find books,why we have so many books downstairs and upstairs how to cite everything,the datebase
GEP100,Dierks,10/6/10,"Where to look for articles, how to look for things online, you can set up appointments",none.,NoodleBib
EDI330,Aggie Seneway,10/12/10 11:30am,The Education Research Complete How to Cite APA style NoodleBib,NoodleBib Citing peer reviewed articles,The Education Resource
HON112,Kowall,9/24/10 10:45am,How to use the Library website The different books/articles that are available in the library How to get help for anything in the library,Where different articles are located What books/articles you can take out of the library and what you cannot,The library website
GEP 100,Allison Wright,10/6/10,How to use the online library catalouge Where everything is in the library How to get help in the library,How to check out a book and how many books you can check out,Online database
HON 112,Dr. Kowal,9/24/10,"1.) It is very easy to get help from the help desk 2.) Using ESCRO is easy and can be very helpful 3.) There are 500,000 credible books in the library",1.) There are some books without call numbers 2.) The descriptions of the books are sometimes not very descriptive and don't necessarily give me all the info I might need,ESCRO
GEP 100,Allison Wright,10/6/2010 12pm,1.How to find article using academic search complete. 2.Where I can find help for citations. 3.I can set up an appointment with a librarian and have them help me on a research project.,"At this time, I don't find anything confusing",Academic Search Complete
GEP 100 Academic plan,susan wieglotz,9/13/10,i can txt the library. I can e mail the library and theres a cafe,none,the cafe
EDI330.01,Aggie Seneway,10/12/10 9:45am,"I learned how quotes around a subject can change your search.  I learned that we have a section of the library website specifically for educators.  Also, I can set up a consultation for my research project.",APA citation just because I am used to MLA format.  Still a little unfimiliar.,Education tabs on Library tab.
GEP,Sue,9/13/10,I can text the library questions. How to search for articles. How to find books.,Why have have to pay to print.,Book search.
EDI 330,Seneway,3/1/11 11:30am,1)How to navigate on the Library website 2)How to cite my sources correctly using APA style 3)Call numbers and subjects,I don't find anything confusing.,1)The Research Guides
EDI 431,Pelttari,9/23/10,How to search for Journals How to find the Juvenile section in the library How to use the library resources,The only thing is parts of the assignment that we must complete,Databases to search for Journals
Hon112,kowal,9/24/19,where to find books that there is a limited number of popular books how to locate research material online,How come there are so few popular books trying to figure out the academic research complete,academic research complete once i figure it out
EDI 330,Aggie Seneway,3/1/11 11:30am,1. How to use the education resource page 2. How to navigate the library site 3. Why citations are different,,
edi330,Aggie Seneway,3/1/11 11:30am,How to cite APA style. Where to find books in a library. Familiarity with the Brockport library website.,citations website,Educational Resource Guide
EDI 600,Jill,9/15/10,1. How to break down a topic with different terms 2. How to use the inter library loan 3. How to refine your search,1. Using the thesaurus,The library article databases!!!
GEP 100,Susan,9/13/10,How to look for a book. How to get help. How to navigate around the library.,Finding specific books using the code. Video usages.,The computers.
EDC 612,Amy Gaeser,9/20/10,1.  Library website 2.  How to look up books and journals 3.  How to search names,1.  Just still so new to me,Search guide
GEP100,Deirks,10/6/10,citations catalogs where books are,,libaray catalog
EDI600,Zarazinski,9/15/10 5:45pm,"1.) I learned how to use the Thesaurus function for Education Research Complete 2.) DE stands for descriptor 3.) ILL is free for grad students (books, etc)","1.) What I should do my research paper on 2.) Nothing else comes to mind, really.",Thesaurus
GEP100,Allison Wright,10/6/10,1)How to find the location of books 2)How to access Ebsco at the college 3)How to search in Ebsco,#NAME?,The Ebsco article data base
GEP 100,breseau,10/13/10 10:45am,how to use articles  how to research using online sources,article finding ,Online library services
EDI 330,Aggie Seneway,10/12/10,"how to research articles, how to cite articles, how to search using databases","locating books in library, using the call book id number",how to research and limit results
EDI 431,Marchetti,9/21/10 5:45pm,1. How much the library spends on resources for the students  2. Where the JUV room is  3. How to find a scholarly article online,1. The difference between an article and a journal online.  2. When an article is peered reviewed,The JUV room
GEP 100,Deirks,10/6/10,1. how to find articles that are not online.  2. setting up inter lib. loan account 3. how many books Brockport Lib has!,none.,NOODLE BIB
GEP100,Dr. Zarazinski,10/11/10 1:15pm,"That I can chat with librarians online, I can make appointments with them, and I can access the catalog online.",What citation to use and where to find the books (what floor)>,The online catalog and articles.
EDC612,Professor Gasser,9/20/2010 4:00pm,I learned about the sign in for Psychology and behavioral sciences.  I learned about the sharing folder.  I learned about keeping the history of searched terms.,I found this instruction very informative and as of right now I am not confused.,I will definitely use the saving terms section.  I think that will be very helpful.
